volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality_label
0.7,0.0,1.0647107369924282,0.07325046173959267,3.5553480614894135,0.9978,0.44468582126144574,9.4,Low
0.88,0.0,1.2809338454620642,0.0934903430873389,4.219507705176107,0.9968,0.5187937934151675,9.8,Low
0.76,0.04,1.1939224684724346,0.0880108773227133,4.007333185232471,0.997,0.5007752879124893,9.8,Low
0.28,0.56,1.0647107369924282,0.07232066157962612,4.110873864173311,0.998,0.4574248470388754,9.8,Low
0.7,0.0,1.0647107369924282,0.07325046173959267,3.5553480614894135,0.9978,0.44468582126144574,9.4,Low
0.66,0.0,1.0296194171811581,0.07232066157962612,3.713572066704308,0.9978,0.44468582126144574,9.4,Low
0.6,0.06,0.9555114450274363,0.06672363204290818,4.0943445622221,0.9964,0.3784364357202451,9.4,Low
0.65,0.0,0.7884573603642702,0.06297479916138844,3.091042453358316,0.9946,0.3852624007906449,10.0,Medium-High
0.58,0.02,1.0986122886681098,0.07045846364856141,2.9444389791664403,0.9968,0.4510756193602166,9.5,Medium-High
0.58,0.08,1.0296194171811581,0.0925791812930931,4.189654742026425,0.9959,0.43178241642553783,9.2,Low
0.615,0.0,0.9555114450274363,0.08525984395082342,4.0943445622221,0.9943,0.41871033485818504,9.9,Low
0.61,0.29,0.9555114450274363,0.10795714150509228,3.4011973816621555,0.9974,0.9400072584914712,9.1,Low
0.28,0.56,1.0296194171811581,0.0880108773227133,4.6443908991413725,0.9969,0.5596157879354227,10.5,Medium-High
0.32,0.51,1.0296194171811581,0.2934156042995415,4.04305126783455,0.9969,0.7323678937132266,9.2,Low
0.39,0.31,1.1939224684724346,0.0788111804242897,4.276666119016055,0.9982,0.5007752879124893,9.7,Low
0.43,0.21,0.9555114450274363,0.10074990310014306,3.6375861597263857,0.9966,0.6471032420585384,9.5,Low
0.49,0.11,1.1939224684724346,0.08065790301745447,4.219507705176107,0.9968,0.4252677354043441,9.4,Low
0.4,0.14,1.2237754316221157,0.08157998699242289,3.713572066704308,0.9968,0.48858001481867097,9.7,Low
0.39,0.16,0.8754687373538999,0.07696104113612832,3.1780538303479458,0.9955,0.44468582126144574,9.3,Low
